image,method,raw_bytes,out_bytes,encode_ms,decode_ms,encode_throughput_mbps,decode_throughput_mbps,ratio,bpp,lossless
oexr_ScanLines_CandleGlass.exr,exr_none,12960000,6493493,38.74675,9.342958,334.47966603650633,1387.1409889673057,1.9958441473641382,64.13326419753086,True
oexr_ScanLines_CandleGlass.exr,exr_rle,12960000,4651957,32.814166,8.384125,394.9513755735862,1545.7784801634043,2.7859242894979466,45.94525432098765,True
oexr_ScanLines_CandleGlass.exr,exr_zips,12960000,3165650,49.693209,8.233292,260.80022322567254,1574.0969711750781,4.093945951068501,31.26567901234568,True
oexr_ScanLines_CandleGlass.exr,exr_zip,12960000,2877447,32.026333,8.533792,404.6669969990008,1518.668371575028,4.503992601775115,28.41922962962963,True
oexr_ScanLines_CandleGlass.exr,exr_piz,12960000,2629171,22.82225,12.741625,567.8668842905498,1017.1387087596754,4.929310417618329,25.967120987654322,True
oexr_ScanLines_CandleGlass.exr,jxl_e3_ll,12960000,6970081,360.250625,134.487792,35.97495493588665,96.36562402630567,1.8593758092624748,68.8403061728395,False
oexr_ScanLines_CandleGlass.exr,jxl_e7_ll,12960000,6521853,2116.588125,164.802125,6.1230618498343885,78.63976268509889,1.9871653040937904,64.41336296296296,False
oexr_ScanLines_CandleGlass.exr,jxl_e3_nl,12960000,2035486,359.174083,148.438833,36.08278161873946,87.30868963379685,6.367029790428428,20.103565432098765,False
oexr_ScanLines_CandleGlass.exr,jxl_e7_nl,12960000,1963079,3778.444834,184.587292,3.429982590556991,70.21068384274255,6.601873893001759,19.388434567901236,False
oexr_ScanLines_CandleGlass.exr,zstd_3,12960000,4770942,103.0175,61.6485,125.80386827480768,210.22409304362637,2.7164446769631656,47.120414814814815,True
oexr_ScanLines_CandleGlass.exr,zstd_19,12960000,3875832,8193.036084,77.099625,1.5818311877460545,168.09420279281514,3.343798183202987,38.27982222222222,True
oexr_ScanLines_CandleGlass.exr,zstd_22,12960000,3876547,9200.884791,67.35875,1.40856018680693,192.40262029803108,3.343181444723874,38.28688395061728,True
oexr_ScanLines_CandleGlass.exr,xz_9,12960000,3179608,10745.663958,347.159417,1.2060678661323163,37.331552495377075,4.075974145240545,31.403535802469136,True
oexr_ScanLines_CandleGlass.exr,bzip2_9,12960000,3141192,1160.490041,520.665417,11.167696009551538,24.891224914982207,4.1258222993054865,31.02411851851852,True
oexr_ScanLines_CandleGlass.exr,lz4_9,12960000,5340530,582.621833,37.590542,22.244274529272577,344.76757477984756,2.4267254373629585,52.745975308641974,True
oexr_ScanLines_CandleGlass.exr,zfp,12960000,4702632,45.734,58.124708,283.3777933266279,222.9688620543264,2.7559035025492107,46.44574814814815,True
oexr_ScanLines_CandleGlass.exr,blosc_zstd9_shuf,12960000,3411120,681.453209,12.096625,19.018180307666583,1071.3732136029678,3.799338633645254,33.690074074074076,True
oexr_ScanLines_CandleGlass.exr,blosc_zstd9_bitshuf,12960000,2968635,590.138333,12.176917,21.96095267039703,1064.308806572304,4.36564279542618,29.31985185185185,True
oexr_ScanLines_CandleGlass.exr,blosc_zstd9_noshuf,12960000,3937550,1248.192041,16.380208,10.383017656174912,791.1987442406104,3.291386776040939,38.88938271604938,True
oexr_ScanLines_CandleGlass.exr,blosc_lz4hc9_shuf,12960000,4263497,173.481417,7.854625,74.70540778439688,1649.983290099782,3.0397582078748973,42.10861234567901,True
oexr_ScanLines_CandleGlass.exr,blosc_lz4_shuf,12960000,4910600,8.709708,8.780417,1487.994775485011,1476.0119023959796,2.639188693845966,48.49975308641975,True
oexr_ScanLines_CandleGlass.exr,planes_zstd19,12960000,3383322,3702.2865,170.0495,3.500539463923173,76.21310265540329,3.830554703335952,33.41552592592593,True
oexr_ScanLines_CandleGlass.exr,our_v0_passthrough,12960000,12960021,16.235417,12.173833,798.2548277016845,1064.578428174594,0.9999983796322552,128.0002074074074,True
oexr_ScanLines_CandleGlass.exr,our_v1a_rans_static,12960000,12960034,128.216875,147.5335,101.07873866057025,87.84445566600128,0.9999973765500924,128.00033580246912,True
oexr_ScanLines_CandleGlass.exr,our_v1b_rans_order0,12960000,6136208,191.366625,164.847792,67.72340788264411,78.61797748555833,2.112053567936419,60.604523456790126,True
oexr_ScanLines_CandleGlass.exr,our_v1c_rans_order1,12960000,4717263,182.475167,299.425625,71.02336286668532,43.282868658953284,2.747355829005082,46.59025185185185,True
oexr_ScanLines_CandleGlass.exr,our_v2a_bitshuf_order0,12960000,5318612,213.442833,192.185875,60.71883425572786,67.43471652118035,2.436725972866605,52.5295012345679,True
oexr_ScanLines_CandleGlass.exr,our_v2b_bitshuf_order1,12960000,3290173,166.932084,211.628666,77.63636378013469,61.239340798944504,3.9390025995593545,32.495535802469135,True
oexr_ScanLines_CandleGlass.exr,our_v4a_pred_order0,12960000,4239457,232.122875,209.268958,55.83249819734483,61.92987303926844,3.0569952708566217,41.87118024691358,True
oexr_ScanLines_CandleGlass.exr,our_v4b_pred_order1,12960000,3880662,232.847917,343.976458,55.65864692704123,37.67699706937503,3.339636381627671,38.327525925925926,True
oexr_ScanLines_CandleGlass.exr,our_v4c_pred_bitshuf_order0,12960000,4133094,264.872792,278.411667,48.92914784543065,46.54977336132971,3.135665436111543,40.82068148148148,True
oexr_ScanLines_CandleGlass.exr,our_v4d_pred_bitshuf_order1,12960000,3257342,276.745083,349.401333,46.83010032015637,37.09201647493428,3.9787041090557884,32.17127901234568,True
oexr_ScanLines_CandleGlass.exr,our_v3a_rct_order1,12960000,4909057,194.146708,306.989542,66.75364281736881,42.2164218219525,2.640018235681517,48.48451358024691,True
oexr_ScanLines_CandleGlass.exr,our_v3b_rct_bitshuf_order1,12960000,3290173,242.622375,310.628084,53.41634298980051,41.72191977335829,3.9390025995593545,32.495535802469135,True
oexr_ScanLines_CandleGlass.exr,our_v3c_rct_pred_bitshuf_order1,12960000,3468753,300.406583,379.612167,43.14153128927937,34.14010700031119,3.736212984896878,34.25928888888889,True
oexr_ScanLines_Cannon.exr,exr_none,5297760,2658343,24.934791,6.550208,212.46458412264212,808.7926368139762,1.9928805274563892,48.17147775663677,True
oexr_ScanLines_Cannon.exr,exr_rle,5297760,2525029,20.76575,6.652,255.12008957056693,796.4161154539988,2.098098675302343,45.75571260306243,True
oexr_ScanLines_Cannon.exr,exr_zips,5297760,1660921,41.594875,8.92375,127.36569108574072,593.669701638885,3.1896520063266105,30.097327172238835,True
oexr_ScanLines_Cannon.exr,exr_zip,5297760,1482127,22.547084,7.377,234.96430846667354,718.145587637251,3.5744305312567684,26.857425024916193,True
oexr_ScanLines_Cannon.exr,exr_piz,5297760,1447958,23.401875,10.1505,226.38186042785034,521.9210876311512,3.658780157988008,26.238253148500498,True
oexr_ScanLines_Cannon.exr,jxl_e3_ll,5297760,3693388,209.985583,123.05575,25.22916061337411,43.051706238838904,1.4343903212984934,66.92738968922714,True
oexr_ScanLines_Cannon.exr,jxl_e7_ll,5297760,3449297,832.117542,137.354625,6.366600549324797,38.56994258475097,1.5358955752433032,62.5042493431186,True
